month,destination_stop,tot
2016-02,11085,79
2016-03,11085,53
2016-04,11085,35
2016-05,11085,98
2016-06,11085,48
2016-07,11085,27
2016-08,11085,46
2016-09,11085,34
2016-10,11085,40
2016-11,11085,44
2016-12,11085,25
2017-01,11085,18
2017-02,11085,30
2017-03,11085,39
2017-04,11085,23
2017-05,11085,41
2017-06,11085,32
2017-07,11085,44
2017-08,11085,26
2017-09,11085,25
2017-10,11085,39
2017-11,11085,49
2017-12,11085,16
2018-01,11085,23
2018-02,11085,45
2018-03,11085,37
2018-04,11085,29
2018-05,11085,32
2018-06,11085,30
2018-07,11085,24
2018-08,11085,26
2018-09,11085,32
2018-10,11085,28
2018-11,11085,51
2018-12,11085,17
2019-01,11085,17
2019-02,11085,37
2019-03,11085,49
2019-04,11085,20
2019-05,11085,49
2019-06,11085,26
2019-07,11085,43
2019-08,11085,44
2019-09,11085,34
2019-10,11085,45
2019-11,11085,50
2019-12,11085,31
2020-01,11085,19
2020-02,11085,48
2020-03,11085,20
2020-04,11085,1
2020-05,11085,1
2020-06,11085,11
2020-07,11085,13
2020-08,11085,11
2020-09,11085,20
2020-10,11085,17
2020-11,11085,7
2020-12,11085,16
2021-01,11085,18
2021-02,11085,18
2021-03,11085,20
2021-04,11085,15
2021-05,11085,12
2021-06,11085,18
2021-07,11085,14
2021-08,11085,6
2021-09,11085,16
2021-10,11085,24
2021-11,11085,33
2021-12,11085,15
2022-01,11085,27
2022-02,11085,18
2022-03,11085,29
2022-04,11085,19
2022-05,11085,19
2022-06,11085,21
2022-07,11085,24
2016-02,1833,2776
2016-03,1833,3027
2016-04,1833,2596
2016-05,1833,2779
2016-06,1833,2651
2016-07,1833,2746
2016-08,1833,3020
2016-09,1833,2749
2016-10,1833,2829
2016-11,1833,2815
2016-12,1833,2148
2017-01,1833,2195
2017-02,1833,2566
2017-03,1833,2751
2017-04,1833,2172
2017-05,1833,2909
2017-06,1833,2583
2017-07,1833,2872
2017-08,1833,2677
2017-09,1833,2504
2017-10,1833,2754
2017-11,1833,2858
2017-12,1833,2401
2018-01,1833,2416
2018-02,1833,2581
2018-03,1833,2795
2018-04,1833,2304
2018-05,1833,2774
2018-06,1833,2464
2018-07,1833,2490
2018-08,1833,2747
2018-09,1833,2470
2018-10,1833,2778
2018-11,1833,2935
2018-12,1833,2193
2019-01,1833,2263
2019-02,1833,2565
2019-03,1833,3004
2019-04,1833,2522
2019-05,1833,2789
2019-06,1833,2507
2019-07,1833,2891
2019-08,1833,2834
2019-09,1833,2503
2019-10,1833,2745
2019-11,1833,2805
2019-12,1833,2148
2020-01,1833,2179
2020-02,1833,2525
2020-03,1833,1839
2020-04,1833,514
2020-05,1833,764
2020-06,1833,1150
2020-07,1833,1515
2020-08,1833,1473
2020-09,1833,1643
2020-10,1833,1674
2020-11,1833,1688
2020-12,1833,1504
